step,contact - Avg_length,5Layers - Avg_length,3Layers - Avg_length
0,5,5,3
1,172,167,165
2,199,195,199
3,199,194,175
4,199,199,194
5,199,199,196
6,199,199,192
7,199,199,195
8,197,192,198
9,199,197,199
10,199,199,199
11,199,197,193
12,199,198,184
13,199,199,199
14,199,195,199
15,199,199,199
16,199,198,199
17,199,199,199
18,199,199,199
19,199,197,199
20,199,196,199
21,199,199,199
22,199,199,199
23,199,199,199
24,199,199,199
25,199,199,196
26,199,199,194
27,199,199,199
28,199,195,199
29,199,195,199
30,198,199,199
31,199,199,199
32,199,199,199
33,199,199,199
34,199,193,199
35,199,189,199
36,199,193,199
37,199,199,199
38,197,199,199
39,196,199,199
40,199,199,198
41,199,198,198
42,199,191,199
43,199,198,199
44,199,194,199
45,199,188,199
46,199,194,199
47,199,195,197
48,199,199,199
49,199,181,194
50,199,191,194
51,199,199,195
52,197,197,199
53,199,190,191
54,199,180,192
55,199,185,178
56,199,195,195
57,199,186,195
58,199,183,194
59,199,179,199
60,199,183,198
61,199,191,199
62,199,189,195
63,199,199,193
64,199,198,198
65,199,180,198
66,199,187,197
67,189,196,197
68,192,186,196
69,199,184,197
70,199,177,198
71,199,182,197
72,199,192,199
73,195,182,199
74,197,177,198
75,197,174,199
76,199,192,198
77,199,183,196
78,184,190,197
79,194,189,199
80,195,195,192
81,199,199,198
82,196,189,199
83,199,184,199
84,195,177,199
85,194,180,195
86,190,167,198
87,193,176,198
88,195,173,199
89,193,187,198
90,189,187,198
91,172,192,195
92,191,191,190
93,193,194,191
94,185,195,195
95,193,187,198
96,193,189,193
97,191,196,195
98,193,192,194
99,185,193,198
100,182,,
101,186,,
102,193,,
103,190,,
104,195,,
105,196,,
106,192,,
107,187,,
108,191,,
109,196,,
110,193,,
111,188,,
112,183,,
113,173,,
114,175,,
115,186,,
116,158,,
117,180,,
118,168,,
119,178,,
120,159,,
121,165,,
122,175,,
123,174,,
124,178,,
125,164,,
126,162,,
127,160,,
128,160,,
129,180,,
130,159,,
131,169,,
132,192,,
133,185,,
134,192,,
135,194,,
136,188,,
137,179,,
138,167,,
139,176,,
140,193,,
141,194,,
142,175,,
143,171,,
144,190,,
145,180,,
146,184,,
147,189,,
148,174,,
149,176,,
150,166,,
151,154,,
152,152,,
153,118,,
154,137,,
155,158,,
156,169,,
157,173,,
158,177,,
159,175,,
160,184,,
161,195,,
162,189,,
163,184,,
164,179,,
165,180,,
166,193,,
167,189,,
168,185,,
169,185,,
170,186,,
